commit_time,file_type,mal,own,type,prev_commit_count,prev_file_count,prev_additions,prev_deletions,hour_deviation,cur_additions,cur_deletions,cur_files,non_prs,prs,multi_commits,avg_adds,avg_deletes,avg_files
2015/6/15 2:51,json,T,T,build,21,9,645,29,5.2,77,19,3,21,0,8,30.71428571,1.380952381,0.428571429
2021/1/21 23:17,js|json,T,F,feat,8,7,364,0,1,54,2,5,8,0,3,45.5,0,0.875
2022/12/8 1:38,js,T,T,fix,78,5,956,286,10.413,4,3,2,78,0,2,12.25641026,3.666666667,0.064102564
2022/11/11 3:06,json,T,F,build,3,3,40,0,1.5,54,0,3,3,0,2,13.33333333,0,1
2024/2/22 10:53,ts,T,F,refactor,180,180,4940,3762,0,13197,17213,449,180,0,1,27.44444444,20.9,1
2020/4/17 16:04,json,T,T,chore,326,133,7601,4583,5.4634,23,1,2,326,0,6,23.31595092,14.05828221,0.40797546
2020/12/21 12:56,json,T,T,chore,334,135,7677,4618,1.4634,3972,63,12,334,0,7,22.98502994,13.82634731,0.404191617
2022/3/23 1:13,json,T,F,build,172,43,906,400,6.9077,89,101,10,172,0,7,5.26744186,2.325581395,0.25
2023/9/23 11:47,json,T,F,chore,519,121,3832,3282,3.0923,56,70,16,519,0,33,7.383429672,6.323699422,0.233140655
2023/9/24 2:50,json,T,T,chore,602,123,4511,4027,5.9077,446,379,38,602,0,10,7.493355482,6.689368771,0.204318937
2021/11/29 21:52,json,T,T,chore,85,42,4915,1495,12.0488,1,0,1,85,0,12,57.82352941,17.58823529,0.494117647
2018/7/25 19:46,js,T,F,feat,6,4,15,2,17,1062,834,3,6,0,2,2.5,0.333333333,0.666666667
2018/7/25 19:53,js,T,T,fix,9,7,1077,836,17,11,5,1,9,0,2,119.6666667,92.88888889,0.777777778
2024/11/29 21:00,js|md,T,F,feat,5044,5044,604222,0,0,635435,0,5321,5044,0,1,119.7902458,0,1
2025/6/7 20:34,json,T,T,chore,91,50,6334,3023,3.9375,200,27,10,91,0,15,69.6043956,33.21978022,0.549450549
2018/5/14 20:17,json,T,F,chore,7,7,2927,0,0.5,3041,0,10,7,0,7,418.1428571,0,1
2016/7/26 0:48,json,T,F,chore,1,1,15,0,0.75,38,0,2,1,0,5,15,0,1
2024/10/17 4:25,ts,T,F,chore,1924,363,51001,22216,1.9631,219,209,15,1924,0,2,26.50779626,11.54677755,0.188669439
2024/10/18 0:16,ts,T,T,refactor,1946,368,51366,22477,5.9631,377,253,18,1946,0,5,26.39568345,11.55035971,0.189105858
2018-09-16T19:14:19,json,T,T,chore,8,8,662,58,1.25,26,1,4,8,0,3,82.75,7.25,1
2022-01-07T23:19:03,js,T,,,33,27,1117,714,,41,0,2,33,0,4,33.84848485,21.63636364,0.818181818
